Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,projects\Gibbed.MassEffectAndromeda.SaveEdit\Gibbed.MassEffectAndromeda.SaveEdit.csproj,File,projects\Gibbed.MassEffectAndromeda.SaveEdit\obj\Debug\Editor\Items\GearItemView.g.i.cs,56,64,T:System.Windows.Controls.UserControl,,,,,UserControl
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,projects\Gibbed.MassEffectAndromeda.SaveEdit\Gibbed.MassEffectAndromeda.SaveEdit.csproj,File,projects\Gibbed.MassEffectAndromeda.SaveEdit\obj\Debug\App.g.i.cs,72,12,M:System.Windows.Application.Run,,,,,app.Run();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,projects\Gibbed.MassEffectAndromeda.SaveEdit\Gibbed.MassEffectAndromeda.SaveEdit.csproj,File,projects\Gibbed.MassEffectAndromeda.SaveEdit\obj\Debug\App.g.i.cs,57,12,T:System.Windows.Application,,,,,"System.Windows.Application.LoadComponent(this, resourceLocater);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,projects\Gibbed.MassEffectAndromeda.SaveEdit\Gibbed.MassEffectAndromeda.SaveEdit.csproj,File,projects\Gibbed.MassEffectAndromeda.SaveEdit\obj\Debug\App.g.i.cs,57,12,"M:System.Windows.Application.LoadComponent(System.Object,System.Uri)",,,,,"System.Windows.Application.LoadComponent(this, resourceLocater);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,projects\Gibbed.MassEffectAndromeda.SaveEdit\Gibbed.MassEffectAndromeda.SaveEdit.csproj,File,projects\Gibbed.MassEffectAndromeda.SaveEdit\obj\Debug\App.g.i.cs,54,12,T:System.Uri,,,,,"System.Uri resourceLocater = new System.Uri(""/Gibbed.MassEffectAndromeda.SaveEdit;component/app.xaml"", System.UriKind.Relative);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,projects\Gibbed.MassEffectAndromeda.SaveEdit\Gibbed.MassEffectAndromeda.SaveEdit.csproj,File,projects\Gibbed.MassEffectAndromeda.SaveEdit\obj\Debug\App.g.i.cs,54,12,"M:System.Uri.#ctor(System.String,System.UriKind)",,,,,"System.Uri resourceLocater = new System.Uri(""/Gibbed.MassEffectAndromeda.SaveEdit;component/app.xaml"", System.UriKind.Relative);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,projects\Gibbed.MassEffectAndromeda.SaveEdit\Gibbed.MassEffectAndromeda.SaveEdit.csproj,File,projects\Gibbed.MassEffectAndromeda.SaveEdit\obj\Debug\App.g.i.cs,40,46,M:System.Windows.Application.#ctor,,,,,Application
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,projects\Gibbed.MassEffectAndromeda.SaveEdit\Gibbed.MassEffectAndromeda.SaveEdit.csproj,File,projects\Gibbed.MassEffectAndromeda.SaveEdit\obj\Debug\App.g.i.cs,40,46,T:System.Windows.Application,,,,,Application
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,projects\Gibbed.MassEffectAndromeda.SaveEdit\Gibbed.MassEffectAndromeda.SaveEdit.csproj,File,projects\Gibbed.MassEffectAndromeda.SaveEdit\Helpers\MyOpenFileResult.cs,133,8,T:Microsoft.Win32.OpenFileDialog,,,,,protected virtual OpenFileDialog CreateDialog()
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,projects\Gibbed.MassEffectAndromeda.SaveEdit\Gibbed.MassEffectAndromeda.SaveEdit.csproj,File,projects\Gibbed.MassEffectAndromeda.SaveEdit\Helpers\MyOpenFileResult.cs,135,12,P:Microsoft.Win32.FileDialog.CheckPathExists,,,,,"var dialog = new OpenFileDialog              {                  Title = this._Title,                  Filter = this._Filters.CreateFilterExpression(),                  FilterIndex = this._Filters.GetFilterIndex(),                  InitialDirectory = this._InitialDirectory,                  Multiselect = this._AllowMultipleFiles,                  CheckFileExists = true,                  CheckPathExists = true,              };"
